type_features,accuracy
"['Varianza', 'Minima_Ampiezza', 'der', 'CF']",98.74
"['Varianza', 'Minima_Ampiezza', 'der', 'rappA/G']",98.38
"['Varianza', 'Minima_Ampiezza', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Minima_Ampiezza', 'TF']",96.95
"['Varianza', 'Minima_Ampiezza', 'TF', 'CF']",97.67
"['Varianza', 'Minima_Ampiezza', 'TF', 'rappA/G']",98.2
"['Varianza', 'Minima_Ampiezza', 'TF', 'rappA/G', 'CF']",97.85
"['Varianza', 'Minima_Ampiezza', 'TF', 'der']",98.56
"['Varianza', 'Minima_Ampiezza', 'TF', 'der', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G']",98.2
"['Varianza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media']",98.22
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'CF']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der']",97.85
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",98.03
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.03
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.56
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.74
"['Varianza', 'Massima_Ampiezza']",96.63
"['Varianza', 'Massima_Ampiezza', 'CF']",97.31
"['Varianza', 'Massima_Ampiezza', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'rappA/G', 'CF']",97.85
"['Varianza', 'Massima_Ampiezza', 'der']",98.74
"['Varianza', 'Massima_Ampiezza', 'der', 'CF']",98.38
"['Varianza', 'Massima_Ampiezza', 'der', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'der', 'rappA/G', 'CF']",98.92
"['Varianza', 'Massima_Ampiezza', 'TF']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'CF']",97.67
"['Varianza', 'Massima_Ampiezza', 'TF', 'rappA/G']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'rappA/G', 'CF']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'der']",97.67
"['Varianza', 'Massima_Ampiezza', 'TF', 'der', 'CF']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'der', 'rappA/G']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.74
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media']",97.69
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'CF']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.56
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'der']",98.03
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",97.85
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.2
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF']",98.2
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.03
